City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Vieste,IT,55.33,clear sky,41.8825,16.175,Hotel Falcone
524,Decatur,US,57.76,clear sky,39.8403,-88.9548,Haworth Cottage
526,Cedar City,US,57.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
545,Wilmington,US,61.99,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
549,Bin Qirdan,TN,57.27,clear sky,33.1378,11.2197,Hôtel Palace
559,Mangrol,IN,69.78,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
561,Kruisfontein,ZA,63.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
566,Harnoli,PK,60.75,clear sky,32.2792,71.5539,Masjid Kosar Tableeghi Markaz
567,Rio Grande,BR,69.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
570,Talara,PE,72.36,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
574,Pathein,MM,69.37,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
575,Amapa,BR,73.6,moderate rain,1.0,-52.0,
576,Langsa,ID,74.23,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
577,Gat,IL,64.08,overcast clouds,31.61,34.7642,OlusHome
582,Tehri,IN,60.39,overcast clouds,30.3833,78.4833,The Reindeer Resort Kanatal
586,Lubango,AO,60.89,light rain,-14.9172,13.4925,Hotel Serra da Chela
592,Perth,AU,60.67,clear sky,-31.9333,115.8333,Beatty Lodge
593,Qiongshan,CN,62.58,clear sky,20.0058,110.3542,Sun City Restaurant
597,Port Macquarie,AU,72.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
599,Trat,TH,68.68,scattered clouds,12.5,102.5,สวนหนิง-อัศ
602,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
606,Mwinilunga,ZM,65.59,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
611,Ishigaki,JP,64.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
614,Riyadh,SA,62.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
616,Tabas,IR,61.36,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
617,San Vicente,AR,74.55,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
618,Sechura,PE,72.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
620,Jefferson City,US,66.36,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
623,Aswan,EG,69.1,clear sky,24.0934,32.907,Nuba Nile
625,Charlottesville,US,56.21,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
628,Bage,BR,73.18,broken clouds,-31.3314,-54.1069,Hotel Obino - Bagé
629,Glenwood Springs,US,61.81,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
630,Esperance,AU,55.24,few clouds,-33.8667,121.9,Hospitality Esperance
632,Nouadhibou,MR,66.18,broken clouds,20.931,-17.0347,El Medina
633,Port Angeles,US,58.71,scattered clouds,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
635,Itacarambi,BR,72.39,light rain,-15.1022,-44.0919,POUSADA CAMALEÃO
636,Viedma,AR,71.31,overcast clouds,-40.8135,-62.9967,Hotel Cristal
639,Florence,IT,55.31,light rain,43.7667,11.25,Italiana Hotels Florence
647,Locri,IT,56.16,clear sky,38.2414,16.2623,Grand Hotel President
648,Bandar,ID,72.32,scattered clouds,2.05,99.75,
650,Raul Soares,BR,73.78,few clouds,-20.1022,-42.4519,Dormitorio Santo Antônio
659,Santa Margherita Ligure,IT,57.97,overcast clouds,44.3346,9.212,Hotel Portofino
662,Malacacheta,BR,69.73,scattered clouds,-17.8422,-42.0767,Pousada Varanda do Sol
667,Plettenberg Bay,ZA,60.69,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
671,Kadiri,IN,66.79,few clouds,14.1167,78.1667,Railway Guest House
672,Dharchula,IN,60.01,overcast clouds,29.85,80.5333,Mahara Hotel
673,Dunedin,NZ,60.49,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
675,Altagracia De Orituco,VE,73.38,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
681,Santa Pola,ES,60.67,clear sky,38.1917,-0.5658,OYO Hotel Polamar
682,Los Lunas,US,72.75,clear sky,34.8062,-106.7334,Western Skies Inns & Suites
686,Beni Suef,EG,60.31,broken clouds,29.0731,31.0979,Jewel Inn Beni Suef
689,Nouakchott,MR,73.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
691,Japura,ID,73.4,heavy intensity rain,-0.3167,102.35,Rumah mbah Jamah
