City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qinhuangdao,CN,39.9317,119.5883,33.28,45,2,14.05,clear sky
80,Tazovskiy,RU,67.4667,78.7,-9.81,95,100,11.54,overcast clouds
81,Freeport,US,40.6576,-73.5832,48.78,53,1,9.22,clear sky
82,Batagay-Alyta,RU,67.8006,130.4114,-38.63,97,36,4.32,scattered clouds
83,Hithadhoo,MV,-0.6,73.0833,81.37,76,99,5.48,overcast clouds
84,Libreville,GA,0.3925,9.4537,80.62,89,40,8.05,moderate rain
85,Busayra,JO,30.7376,35.6078,49.55,80,84,13.38,broken clouds
86,Clyde River,CA,70.4692,-68.5914,7.03,85,100,32.21,light snow
87,Codrington,AU,-38.2667,141.9667,61.59,86,81,5.41,broken clouds
88,The Valley,AI,18.217,-63.0578,82.54,78,40,12.66,scattered clouds
89,Anito,PH,12.4497,125.2886,78.42,91,100,10.83,overcast clouds
90,Butaritari,KI,3.0707,172.7902,82.02,78,99,11.27,light rain
91,Saint-Philippe,RE,-21.3585,55.7679,72.99,74,64,8.52,broken clouds
92,Kodiak,US,57.79,-152.4072,17.11,73,90,14.97,light snow
93,Naryan-Mar,RU,67.6713,53.087,11.28,94,100,17.31,light snow
94,Constitucion,CL,-35.3333,-72.4167,59.27,69,36,15.03,scattered clouds
95,Nikolskoye,RU,59.7035,30.7861,21.09,98,62,3.83,broken clouds
96,Leh,IN,34.1667,77.5833,18.9,47,98,2.51,overcast clouds
97,Yuryevets,RU,57.3201,43.1041,23.88,88,100,13.8,overcast clouds
98,Hermanus,ZA,-34.4187,19.2345,60.91,72,73,7.92,broken clouds
99,Ornes,NO,66.8689,13.7078,16.03,67,62,8.34,broken clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,86.5,57,40,3.0,scattered clouds
101,Bam,IR,29.106,58.357,58.87,35,14,6.33,few clouds
102,Kupang,ID,-10.1667,123.5833,75.78,94,20,2.3,few clouds
103,Tuatapere,NZ,-46.1333,167.6833,66.81,57,51,2.82,broken clouds
104,Bermeo,ES,43.4209,-2.7215,51.13,80,98,21.09,light rain
105,Westport,US,41.1415,-73.3579,47.75,59,1,1.99,clear sky
106,Cidreira,BR,-30.1811,-50.2056,67.06,68,15,9.17,few clouds
107,Hobyo,SO,5.3505,48.5268,79.5,72,67,16.8,broken clouds
108,Denpasar,ID,-8.65,115.2167,76.71,94,40,1.14,scattered clouds
109,Hilo,US,19.7297,-155.09,80.26,88,90,5.75,moderate rain
110,Salinopolis,BR,-0.6136,-47.3561,81.7,78,100,12.53,overcast clouds
111,Anadyr,RU,64.75,177.4833,10.9,85,90,20.13,snow
112,Raudeberg,NO,61.9875,5.1352,31.87,95,99,19.91,light snow
113,Souillac,MU,-20.5167,57.5167,77.38,78,40,4.61,scattered clouds
114,Khatanga,RU,71.9667,102.5,-37.86,100,97,1.81,overcast clouds
115,Awjilah,LY,29.1081,21.2869,61.29,60,95,3.94,overcast clouds
116,Turukhansk,RU,65.8167,87.9833,-1.52,90,99,10.18,overcast clouds
117,Wuchang,CN,44.9143,127.15,19.11,76,28,20.27,scattered clouds
118,Chokurdakh,RU,70.6333,147.9167,-29.54,100,99,8.12,overcast clouds
119,Kapit,MY,2.0167,112.9333,71.71,98,92,1.01,overcast clouds
120,Luba,GQ,3.4568,8.5547,80.78,84,68,10.42,broken clouds
121,Ribeira Grande,PT,38.5167,-28.7,63.0,77,75,8.05,broken clouds
122,Linjiang,CN,41.8069,126.9078,4.98,97,62,3.0,broken clouds
123,Vardo,NO,70.3705,31.1107,33.78,64,75,35.68,broken clouds
124,Tasiilaq,GL,65.6145,-37.6368,22.64,91,100,31.72,snow
125,Ancud,CL,-41.8697,-73.8203,56.73,60,74,13.49,broken clouds
126,Ketchikan,US,55.3422,-131.6461,43.27,81,90,13.8,light rain
127,Yulara,AU,-25.2406,130.9889,71.44,35,0,5.75,clear sky
128,Kiunga,PG,-6.1219,141.2906,73.9,98,100,1.63,overcast clouds
129,Borazjan,IR,29.2666,51.2159,68.29,50,74,1.57,broken clouds
130,Taikang,CN,46.8333,124.4167,21.51,79,100,13.31,overcast clouds
131,Geraldton,AU,-28.7667,114.6,58.12,82,0,9.22,clear sky
132,Yellowknife,CA,62.456,-114.3525,-0.58,91,75,1.01,broken clouds
133,Rio Gallegos,AR,-51.6226,-69.2181,59.05,21,75,17.27,broken clouds
134,Shetpe,KZ,44.1667,52.1167,39.33,89,100,18.88,overcast clouds
135,Altay,CN,47.8667,88.1167,20.44,48,43,8.5,scattered clouds
136,Pochutla,MX,15.7432,-96.4661,89.42,53,95,6.78,overcast clouds
137,Wewak,PG,-3.5534,143.6268,80.06,86,91,3.58,overcast clouds
138,Marienburg,PL,54.0359,19.0266,41.85,95,100,16.55,overcast clouds
139,San Carlos,VE,9.6612,-68.5827,84.36,56,70,4.65,broken clouds
140,Castro,BR,-24.7911,-50.0119,70.56,49,0,2.48,clear sky
141,Muzhi,RU,65.3667,64.6667,-0.76,97,100,8.72,overcast clouds
142,Bluefield,US,37.2698,-81.2223,52.36,54,90,0.0,overcast clouds
143,Saldanha,ZA,-33.0117,17.9442,60.85,78,100,21.65,overcast clouds
144,New Norfolk,AU,-42.7826,147.0587,72.75,58,26,3.33,scattered clouds
145,Suntar,RU,62.1444,117.6319,-17.68,96,100,5.19,overcast clouds
146,Lianzhou,CN,24.7811,112.3825,42.46,72,38,3.0,scattered clouds
147,Tabriz,IR,38.08,46.2919,49.46,66,90,18.41,overcast clouds
148,Sekoma,BW,-24.4,23.8833,75.81,48,87,12.82,light rain
149,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,90,15,9.55,few clouds
150,Santa Rosa,PH,14.3122,121.1114,79.09,70,98,10.69,overcast clouds
151,Cap-Aux-Meules,CA,47.3821,-61.8597,30.25,69,75,8.05,broken clouds
152,Severo-Kurilsk,RU,50.6789,156.125,44.24,93,100,27.89,moderate rain
153,Lobito,AO,-12.3481,13.5456,77.54,82,98,6.67,overcast clouds
154,Kuliyapitiya,LK,7.4688,80.0401,74.88,96,74,2.73,broken clouds
155,Buluang,PH,13.3068,123.3425,76.15,90,100,6.96,heavy intensity rain
156,Saskylakh,RU,71.9167,114.0833,-33.43,100,99,1.52,overcast clouds
157,Oktyabrskoye,RU,43.0645,44.7417,28.54,93,70,4.47,broken clouds
158,Waingapu,ID,-9.6567,120.2641,78.64,75,100,2.68,overcast clouds
159,Am Timan,TD,11.0297,20.2827,79.18,22,45,6.08,scattered clouds
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.19,86,90,4.61,light snow
161,Jamestown,US,42.097,-79.2353,40.59,70,90,5.01,overcast clouds
162,Shingu,JP,33.7333,135.9833,39.09,73,3,6.62,clear sky
163,Dumas,US,35.8656,-101.9732,71.02,17,1,0.0,clear sky
164,Kavaratti,IN,10.5669,72.642,81.86,78,13,11.63,few clouds
165,Shirokiy,RU,49.758,129.523,-5.58,94,89,5.99,overcast clouds
166,Half Moon Bay,US,37.4636,-122.4286,77.95,52,1,4.61,haze
167,Taoudenni,ML,22.6783,-3.9836,69.12,14,92,11.81,overcast clouds
168,Torbay,CA,47.6666,-52.7314,39.67,82,75,5.75,broken clouds
169,Batagay,RU,67.6333,134.6333,-40.95,100,99,0.87,overcast clouds
170,Vreden,DE,52.0379,6.828,42.12,74,92,5.01,overcast clouds
171,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,4.61,scattered clouds
172,Laguna,US,38.421,-121.4238,79.43,65,1,1.01,clear sky
173,Vostok,RU,46.4856,135.8833,-4.11,96,100,6.35,overcast clouds
174,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,3.44,moderate rain
175,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,22,100,28.77,dust
176,Tiksi,RU,71.6872,128.8694,-27.65,100,82,5.44,broken clouds
177,Chuy,UY,-33.6971,-53.4616,62.76,65,82,8.5,broken clouds
178,Nokaneng,BW,-19.6667,22.2667,80.28,41,78,4.14,broken clouds
179,La Ronge,CA,55.1001,-105.2842,16.05,79,90,9.22,light snow
180,Pisco,PE,-13.7,-76.2167,71.65,64,0,5.75,clear sky
181,Soyo,AO,-6.1349,12.3689,77.95,91,100,6.06,overcast clouds
182,Doha,QA,25.2867,51.5333,73.38,76,0,2.3,clear sky
183,Cabra,ES,37.4725,-4.4421,51.39,77,72,1.01,broken clouds
184,Banda Aceh,ID,5.5577,95.3222,77.67,81,42,9.98,scattered clouds
185,Tawang,IN,27.5833,91.8667,39.92,70,77,3.83,broken clouds
186,Karwar,IN,14.8,74.1333,75.81,87,70,6.89,light rain
187,Yeniseysk,RU,58.4497,92.1703,22.73,95,100,7.31,snow
188,Iralaya,HN,15.0,-83.2333,79.0,81,86,9.55,overcast clouds
189,Saint-Augustin,CA,51.226,-58.6502,14.16,91,60,3.94,broken clouds
190,Carnarvon,AU,-24.8667,113.6333,66.27,77,0,19.57,clear sky
191,Nenjiang,CN,49.1833,125.2167,14.47,97,100,1.9,light snow
192,Alcudia,ES,39.8532,3.1214,58.95,73,96,10.96,overcast clouds
193,Namuac,PH,18.6109,121.1657,71.28,83,100,17.16,overcast clouds
194,Emerald,AU,-23.5333,148.1667,78.35,78,0,5.75,clear sky
195,Necochea,AR,-38.5473,-58.7368,78.04,39,0,10.58,clear sky
196,Guadalupe Y Calvo,MX,26.1,-106.9667,61.75,43,80,7.11,broken clouds
197,Port Elizabeth,ZA,-33.918,25.5701,66.09,88,0,5.75,clear sky
198,Vigeland,NO,58.0844,7.305,31.95,67,99,6.2,overcast clouds
199,Kankon,IN,15.0167,74.0167,76.93,86,78,7.58,broken clouds
200,El Jicaro,GT,14.9167,-89.9,87.33,55,22,5.61,few clouds
201,Asau,RO,46.4333,26.4,42.96,60,99,7.25,overcast clouds
202,Lebork,PL,54.5392,17.7501,39.92,90,100,17.4,overcast clouds
203,Charters Towers,AU,-20.1,146.2667,82.71,55,0,6.8,clear sky
204,Bologoye,RU,57.8799,34.1068,17.42,93,100,7.61,overcast clouds
205,Zunyi,CN,27.6867,106.9072,46.87,77,100,1.95,overcast clouds
206,General Roca,AR,-39.0333,-67.5833,91.62,9,82,20.6,broken clouds
207,Cockburn Town,TC,21.4612,-71.1419,78.76,78,75,9.22,broken clouds
208,Hamilton,US,39.1834,-84.5333,52.12,85,90,1.01,overcast clouds
209,Palafrugell,ES,41.9174,3.1631,53.42,49,100,1.01,light rain
210,Tefe,BR,-3.3542,-64.7114,75.31,94,90,5.75,moderate rain
211,Jalu,LY,29.0331,21.5482,61.11,57,93,3.27,overcast clouds
212,Along,IN,28.1667,94.7667,53.28,72,99,1.43,overcast clouds
213,Avera,US,33.194,-82.5271,69.67,46,22,6.85,few clouds
214,Leningradskiy,RU,69.3833,178.4167,-18.4,92,67,7.11,broken clouds
215,Port Hueneme,US,34.1478,-119.1951,92.46,70,1,5.08,clear sky
216,Kavieng,PG,-2.5744,150.7967,83.5,69,95,7.9,overcast clouds
217,Voh,NC,-20.9667,164.7,84.85,68,14,4.52,few clouds
218,Griffith,US,41.5284,-87.4237,48.15,81,40,1.01,scattered clouds
219,Nyurba,RU,63.2842,118.3319,-23.13,98,100,3.22,overcast clouds
220,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,90,24.61,light intensity shower rain
221,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,85,5,6.91,clear sky
222,Walvis Bay,NA,-22.9575,14.5053,61.09,77,0,8.05,clear sky
223,Wattegama,LK,6.7989,81.4808,72.52,90,88,1.86,overcast clouds
224,Chapais,CA,49.7834,-74.8492,8.38,93,100,4.09,overcast clouds
225,North Vanlaiphai,IN,23.1333,93.0667,48.09,97,100,2.95,overcast clouds
226,Aparecida Do Taboado,BR,-20.0867,-51.0936,80.17,54,83,3.8,broken clouds
227,Ibra,OM,22.6906,58.5334,66.36,60,0,4.83,clear sky
228,Manzhouli,CN,49.6,117.4333,15.73,64,22,26.37,few clouds
229,Panguipulli,CL,-39.6333,-72.3333,53.31,85,97,2.06,overcast clouds
230,Katangli,RU,51.7102,143.2326,23.07,91,100,32.93,light snow
231,Kungurtug,RU,50.5994,97.5228,-2.04,94,26,1.88,scattered clouds
232,Udachnyy,RU,66.4167,112.4,-13.18,99,100,3.31,overcast clouds
233,Lebu,CL,-37.6167,-73.65,59.16,74,80,9.51,broken clouds
234,Wagar,SD,16.1525,36.2032,75.74,60,0,13.69,clear sky
235,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,40,2.3,scattered clouds
236,Anuradhapura,LK,8.3565,80.4173,72.21,92,66,2.35,broken clouds
237,Beringovskiy,RU,63.05,179.3167,8.35,95,100,14.29,snow
238,Hearst,CA,49.6835,-83.6665,19.65,93,100,10.54,light snow
239,Sitka,US,57.0531,-135.33,39.09,75,90,26.46,light rain
240,Krasnyy,RU,54.5678,31.4333,22.77,93,99,7.07,overcast clouds
241,Palasa,IN,18.7667,84.4167,66.33,65,19,4.47,few clouds
242,Tapes,BR,-30.6733,-51.3958,66.78,67,43,10.49,scattered clouds
243,Sorland,NO,67.667,12.6934,28.47,57,98,27.42,overcast clouds
244,Pitimbu,BR,-7.4706,-34.8086,81.19,73,94,9.22,overcast clouds
245,Huarmey,PE,-10.0681,-78.1522,69.58,78,73,9.46,broken clouds
246,Teya,RU,60.3778,92.6267,17.15,91,100,8.08,overcast clouds
247,Fuerte Olimpo,PY,-21.0415,-57.8738,86.72,49,89,2.48,overcast clouds
248,Kismayo,SO,-0.3582,42.5454,79.92,76,95,8.95,overcast clouds
249,Dhidhdhoo,MV,6.8833,73.1,80.98,79,71,7.07,broken clouds
250,Khani,GE,41.9563,42.9566,35.17,96,90,1.3,overcast clouds
251,Nanortalik,GL,60.1432,-45.2371,34.27,98,100,26.71,moderate rain
252,Gouyave,GD,12.1646,-61.7296,81.37,78,75,25.32,broken clouds
253,Narsaq,GL,60.9167,-46.05,33.12,99,100,25.19,snow
254,Guangyuan,CN,32.442,105.823,43.56,78,32,4.94,scattered clouds
255,Suez,EG,29.9737,32.5263,60.49,69,54,9.98,broken clouds
256,Mbigou,GA,-1.9005,11.906,69.04,94,100,3.42,moderate rain
257,Miraflores,MX,19.2167,-98.8083,74.05,36,96,2.08,overcast clouds
258,Whitehorse,CA,60.7161,-135.0538,21.97,85,75,4.0,broken clouds
259,La Grange,US,33.0393,-85.0313,66.51,30,1,3.44,clear sky
260,Lahij,YE,13.1667,44.5833,69.84,64,0,2.68,clear sky
261,Kargasok,RU,59.0556,80.8572,28.2,90,100,14.0,light snow
262,Nisia Floresta,BR,-6.0911,-35.2086,83.21,79,82,6.31,broken clouds
263,Santa Marta,CO,11.2408,-74.199,89.65,58,40,11.5,scattered clouds
264,Victoria,HK,22.2855,114.1577,61.25,51,64,1.01,broken clouds
265,Grand Gaube,MU,-20.0064,57.6608,77.4,78,6,5.01,clear sky
266,Susangerd,IR,31.5608,48.1831,64.42,60,100,11.14,overcast clouds
267,Edd,ER,13.9297,41.6925,80.42,55,0,15.84,clear sky
268,Luderitz,NA,-26.6481,15.1594,62.26,70,0,19.01,clear sky
269,Baisha,CN,26.5222,110.9311,42.21,66,3,1.74,clear sky
270,Hasaki,JP,35.7333,140.8333,45.0,38,5,26.8,clear sky
271,Olinda,BR,-8.0089,-34.8553,82.13,74,20,6.91,few clouds
272,Guayaramerin,BO,-10.8368,-65.3614,81.01,75,98,3.69,overcast clouds
273,Caraquet,CA,47.7941,-64.9386,28.98,77,97,9.57,overcast clouds
274,Veraval,IN,20.9,70.3667,70.74,81,100,18.45,overcast clouds
275,Ust-Kuyga,RU,70.0167,135.6,-42.39,100,97,2.77,overcast clouds
276,Kaitangata,NZ,-46.2817,169.8464,64.92,78,5,5.73,clear sky
277,Faanui,PF,-16.4833,-151.75,79.93,78,100,18.43,moderate rain
278,Cabedelo,BR,-6.9811,-34.8339,81.27,73,93,9.24,overcast clouds
279,Santa Rosa Del Sur,CO,7.9644,-74.0544,75.29,85,67,1.03,broken clouds
280,Pueblo Nuevo,MX,23.3833,-105.3833,69.6,33,81,5.14,broken clouds
281,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,54,75,28.77,broken clouds
282,Madera,US,37.1666,-119.8343,86.97,47,0,1.01,clear sky
283,Longyearbyen,SJ,78.2186,15.6401,8.44,72,75,8.05,light snow
284,Amga,RU,60.8953,131.9608,-31.04,100,29,2.08,scattered clouds
285,Sur,OM,22.5667,59.5289,73.0,57,0,4.63,clear sky
286,Le Port,RE,-20.9373,55.2919,73.4,72,26,3.8,scattered clouds
287,Kaka,TM,37.3482,59.6143,65.84,22,90,6.44,overcast clouds
288,Ewa Beach,US,21.3156,-158.0072,82.69,58,40,11.01,scattered clouds
289,Saint-Joseph,RE,-21.3667,55.6167,71.98,73,60,9.57,broken clouds
290,Vila,PT,42.0304,-8.1588,40.08,91,100,5.3,light rain
